psLayout version 3

match	mis- 	rep. 	N's	Q gap	Q gap	T gap	T gap	strand	Q        	Q   	Q    	Q  	T        	T   	T    	T  	block	blockSizes 	qStarts	 tStarts
     	match	match	   	count	bases	count	bases	      	name     	size	start	end	name     	size	start	end	count
---------------------------------------------------------------------------------------------------------------------------------------------------------------
20	9	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	882	911	CORE_REP|Org11_Gene2458#	1413	934	963	1	29,	882,	934,
18	5	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	619	642	CORE_REP|Org11_Gene2458#	1413	690	713	1	23,	619,	690,
90	51	0	0	2	12	2	10	+	CORE_REP|Org31_Gene3526#	4686	4092	4245	CORE_REP|Org12_Gene103#	2512	1745	1896	3	42,71,28,	4092,4138,4217,	1745,1792,1868,
65	33	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	1876	1974	CORE_REP|Org12_Gene103#	2512	1792	1890	1	98,	1876,	1792,
112	70	0	0	2	41	2	40	+	CORE_REP|Org31_Gene3526#	4686	3357	3580	CORE_REP|Org12_Gene103#	2512	1018	1240	3	17,50,115,	3357,3384,3465,	1018,1041,1125,
57	36	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	2278	2371	CORE_REP|Org12_Gene103#	2512	1146	1239	1	93,	2278,	1146,
37	17	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	1219	1273	CORE_REP|Org12_Gene103#	2512	1150	1204	1	54,	1219,	1150,
35	14	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	1341	1390	CORE_REP|Org12_Gene103#	2512	1272	1321	1	49,	1341,	1272,
33	12	0	0	1	4	1	2	+	CORE_REP|Org31_Gene3526#	4686	862	911	CORE_REP|Org12_Gene103#	2512	1848	1895	2	16,29,	862,882,	1848,1866,
33	25	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	2427	2485	CORE_REP|Org12_Gene103#	2512	1295	1353	1	58,	2427,	1295,
26	20	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	1015	1061	CORE_REP|Org12_Gene103#	2512	1996	2042	1	46,	1015,	1996,
32	20	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	2278	2330	CORE_REP|Org3_Gene1883#	1731	1195	1247	1	52,	2278,	1195,
25	11	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	4345	4381	CORE_REP|Org3_Gene1883#	1731	997	1033	1	36,	4345,	997,
31	23	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	1219	1273	CORE_REP|Org3_Gene1883#	1731	1199	1253	1	54,	1219,	1199,
24	10	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	606	640	CORE_REP|Org3_Gene1883#	1731	605	639	1	34,	606,	605,
23	9	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	2024	2056	CORE_REP|Org3_Gene1883#	1731	943	975	1	32,	2024,	943,
27	18	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	1003	1048	CORE_REP|Org3_Gene1883#	1731	985	1030	1	45,	1003,	985,
26	18	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	1692	1736	CORE_REP|Org3_Gene1883#	1731	595	639	1	44,	1692,	595,
24	15	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	2091	2130	CORE_REP|Org3_Gene1883#	1731	1010	1049	1	39,	2091,	1010,
18	4	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	4216	4238	CORE_REP|Org3_Gene1883#	1731	862	884	1	22,	4216,	862,
16	2	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	1954	1972	CORE_REP|Org3_Gene1883#	1731	865	883	1	18,	1954,	865,
63	39	0	0	1	1	0	0	+	CORE_REP|Org31_Gene3526#	4686	1876	1979	CORE_REP|Org8_Gene2410#	1461	773	875	2	56,46,	1876,1933,	773,829,
30	17	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	4147	4194	CORE_REP|Org8_Gene2410#	1461	782	829	1	47,	4147,	782,
22	13	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	2905	2940	CORE_REP|Org8_Gene2410#	1461	589	624	1	35,	2905,	589,
21	12	0	0	0	0	0	0	+	CORE_REP|Org31_Gene3526#	4686	4217	4250	CORE_REP|Org8_Gene2410#	1461	848	881	1	33,	4217,	848,
22	13	0	0	0	0	0	0	+	CORE_REP|Org9_Gene1501#	3174	1303	1338	CORE_REP|Org5_Gene253#	280	184	219	1	35,	1303,	184,
1720	669	0	0	17	567	17	542	+	CORE_REP|Org9_Gene1501#	3174	157	3113	CORE_REP|Org6_Gene2561#	3069	108	3039	18	98,233,282,100,29,20,106,300,37,95,74,149,54,79,146,93,460,34,	157,274,516,862,993,1140,1249,1359,1676,1719,1838,1925,2080,2196,2286,2510,2609,3079,	108,225,467,803,935,1082,1169,1278,1595,1639,1757,1844,2000,2118,2208,2435,2535,3005,
778	300	0	0	8	266	9	106	+	CORE_REP|Org32_Gene5911#	1847	3	1347	CORE_REP|Org1_Gene320#	1513	11	1195	10	60,115,55,45,282,90,213,94,40,84,	3,69,184,253,324,795,886,1115,1217,1263,	11,78,194,256,332,635,730,960,1066,1111,
100	46	0	0	1	16	1	17	+	CORE_REP|Org32_Gene5911#	1847	1626	1788	CORE_REP|Org1_Gene320#	1513	1289	1452	2	86,60,	1626,1728,	1289,1392,
58	23	0	0	1	18	1	18	+	CORE_REP|Org32_Gene131#	1819	366	465	CORE_REP|Org10_Gene2929#	2188	261	360	2	60,21,	366,444,	261,339,
129	62	0	0	1	8	1	8	+	CORE_REP|Org32_Gene131#	1819	367	566	CORE_REP|Org12_Gene2885#	1876	325	524	2	175,16,	367,550,	325,508,
25	12	0	0	0	0	0	0	+	CORE_REP|Org32_Gene131#	1819	204	241	CORE_REP|Org12_Gene2885#	1876	171	208	1	37,	204,	171,
24	13	0	0	0	0	0	0	+	CORE_REP|Org32_Gene131#	1819	304	341	CORE_REP|Org13_Gene2909#	1488	173	210	1	37,	304,	173,
18	6	0	0	0	0	0	0	+	CORE_REP|Org32_Gene131#	1819	437	461	CORE_REP|Org13_Gene2909#	1488	307	331	1	24,	437,	307,
49	23	0	0	1	15	1	15	+	CORE_REP|Org32_Gene131#	1819	386	473	CORE_REP|Org16_Gene419#	1064	1	88	2	44,28,	386,445,	1,60,
18	4	0	0	0	0	0	0	+	CORE_REP|Org32_Gene131#	1819	443	465	CORE_REP|Org2_Gene1117#	1017	273	295	1	22,	443,	273,
17	4	0	0	0	0	0	0	+	CORE_REP|Org32_Gene131#	1819	443	464	CORE_REP|Org3_Gene1149#	2128	334	355	1	21,	443,	334,
65	38	0	0	0	0	0	0	+	CORE_REP|Org32_Gene131#	1819	362	465	CORE_REP|Org5_Gene2092#	4151	2273	2376	1	103,	362,	2273,
27	10	0	0	0	0	0	0	+	CORE_REP|Org32_Gene131#	1819	305	342	CORE_REP|Org5_Gene2092#	4151	193	230	1	37,	305,	193,
18	4	0	0	0	0	0	0	+	CORE_REP|Org32_Gene131#	1819	443	465	CORE_REP|Org5_Gene2092#	4151	331	353	1	22,	443,	331,
100	46	0	0	2	38	2	38	+	CORE_REP|Org32_Gene131#	1819	282	466	CORE_REP|Org6_Gene2956#	1537	171	355	3	60,59,27,	282,367,439,	171,256,328,
